CREATION_DATE,PAYMENT_IN_USD,Transaction_Type
2007-03-06 00:00:00,30645,product purchase
2007-03-07 00:00:00,39222,product purchase
2007-03-08 00:00:00,30877,product purchase
2007-03-09 00:00:00,31537,product purchase
2007-03-10 00:00:00,43034,product purchase
2007-03-11 00:00:00,39000,product purchase
2007-03-12 00:00:00,21359,product purchase
2007-03-13 00:00:00,18834,product purchase
2007-03-14 00:00:00,17337,product purchase
2007-03-15 00:00:00,16938,product purchase
2007-03-16 00:00:00,19003,product purchase
2007-03-17 00:00:00,26637,product purchase
2007-03-18 00:00:00,24305,product purchase
2007-03-19 00:00:00,13998,product purchase
2007-03-20 00:00:00,16919,product purchase
2007-03-21 00:00:00,18639,product purchase
2007-03-22 00:00:00,20966,product purchase
2007-03-23 00:00:00,98210,product purchase
2007-03-24 00:00:00,101145,product purchase
2007-03-25 00:00:00,81669,product purchase
2007-03-26 00:00:00,49632,product purchase
2007-03-27 00:00:00,42332,product purchase
2007-03-28 00:00:00,36638,product purchase
2007-03-29 00:00:00,39366,product purchase
2007-03-30 00:00:00,64727,product purchase
2007-03-31 00:00:00,89299,product purchase
2007-04-01 00:00:00,72500,product purchase
2007-04-02 00:00:00,41832,product purchase
2007-04-03 00:00:00,33541,product purchase
2007-04-04 00:00:00,38679,product purchase
2007-04-05 00:00:00,46965,product purchase
2007-04-06 00:00:00,67595,product purchase
2007-04-07 00:00:00,61511,product purchase
2007-04-08 00:00:00,55621,product purchase
2007-04-09 00:00:00,44520,product purchase
2007-04-10 00:00:00,32633,product purchase
2007-04-11 00:00:00,30510,product purchase
2007-04-12 00:00:00,45548,product purchase
2007-04-13 00:00:00,60595,product purchase
2007-04-14 00:00:00,60718,product purchase
2007-04-15 00:00:00,50661,product purchase
2007-04-16 00:00:00,30965,product purchase
2007-04-17 00:00:00,30026,product purchase
2007-04-18 00:00:00,28940,product purchase
2007-04-19 00:00:00,35068,product purchase
2007-04-20 00:00:00,38664,product purchase
2007-04-21 00:00:00,48702,product purchase
2007-04-22 00:00:00,44213,product purchase
2007-04-23 00:00:00,26591,product purchase
2007-04-24 00:00:00,25300,product purchase
2007-04-25 00:00:00,31205,product purchase
2007-04-26 00:00:00,41291,product purchase
2007-04-27 00:00:00,41562,product purchase
2007-04-28 00:00:00,53785,product purchase
2007-04-29 00:00:00,47579,product purchase
2007-04-30 00:00:00,32979,product purchase
2007-05-01 00:00:00,32162,product purchase
2007-05-02 00:00:00,26500,product purchase
2007-05-03 00:00:00,46517,product purchase
2007-05-04 00:00:00,60591,product purchase
2007-05-05 00:00:00,58629,product purchase
2007-05-06 00:00:00,51590,product purchase
2007-05-07 00:00:00,35789,product purchase
2007-05-08 00:00:00,25744,product purchase
2007-05-09 00:00:00,26631,product purchase
2007-05-10 00:00:00,53042,product purchase
2007-05-11 00:00:00,108893,product purchase
2007-05-12 00:00:00,91034,product purchase
2007-05-13 00:00:00,64334,product purchase
2007-05-14 00:00:00,40810,product purchase
2007-05-15 00:00:00,35539,product purchase
2007-05-16 00:00:00,37055,product purchase
2007-05-17 00:00:00,38408,product purchase
2007-05-18 00:00:00,55448,product purchase
2007-05-19 00:00:00,65613,product purchase
2007-05-20 00:00:00,57052,product purchase
2007-05-21 00:00:00,31926,product purchase
2007-05-22 00:00:00,29992,product purchase
2007-05-23 00:00:00,29343,product purchase
2007-05-24 00:00:00,31273,product purchase
2007-05-25 00:00:00,57950,product purchase
2007-05-26 00:00:00,62423,product purchase
2007-05-27 00:00:00,53209,product purchase
2007-05-28 00:00:00,41564,product purchase
2007-05-29 00:00:00,28724,product purchase
2007-05-30 00:00:00,26863,product purchase
2007-05-31 00:00:00,41083,product purchase
2007-06-01 00:00:00,58458,product purchase
2007-06-02 00:00:00,67054,product purchase
2007-06-03 00:00:00,56843,product purchase
2007-06-04 00:00:00,32231,product purchase
2007-06-05 00:00:00,30827,product purchase
2007-06-06 00:00:00,40157,product purchase
2007-06-07 00:00:00,32469,product purchase
2007-06-08 00:00:00,54035,product purchase
2007-06-09 00:00:00,64981,product purchase
2007-06-10 00:00:00,55929,product purchase
2007-06-11 00:00:00,31881,product purchase
2007-06-12 00:00:00,30896,product purchase
2007-06-13 00:00:00,27946,product purchase
2007-06-14 00:00:00,32204,product purchase
2007-06-15 00:00:00,50364,product purchase
2007-06-16 00:00:00,65836,product purchase
2007-06-17 00:00:00,56658,product purchase
2007-06-18 00:00:00,34419,product purchase
2007-06-19 00:00:00,31214,product purchase
2007-06-20 00:00:00,29679,product purchase
2007-06-21 00:00:00,34016,product purchase
2007-06-22 00:00:00,146881,product purchase
2007-06-23 00:00:00,125824,product purchase
2007-06-24 00:00:00,94126,product purchase
2007-06-25 00:00:00,57153,product purchase
2007-06-26 00:00:00,46122,product purchase
2007-06-27 00:00:00,41144,product purchase
2007-06-28 00:00:00,66851,product purchase
2007-06-29 00:00:00,201376,product purchase
2007-06-30 00:00:00,176124,product purchase
2007-07-01 00:00:00,115571,product purchase
2007-07-02 00:00:00,76820,product purchase
2007-07-03 00:00:00,60648,product purchase
2007-07-04 00:00:00,64775,product purchase
2007-07-05 00:00:00,51795,product purchase
2007-07-06 00:00:00,56061,product purchase
2007-07-07 00:00:00,72248,product purchase
2007-07-08 00:00:00,66198,product purchase
2007-07-09 00:00:00,42893,product purchase
2007-07-10 00:00:00,38199,product purchase
2007-07-11 00:00:00,40515,product purchase
2007-07-12 00:00:00,42163,product purchase
2007-07-13 00:00:00,53814,product purchase
2007-07-14 00:00:00,69377,product purchase
2007-07-15 00:00:00,64112,product purchase
2007-07-16 00:00:00,43024,product purchase
2007-07-17 00:00:00,38768,product purchase
2007-07-18 00:00:00,37409,product purchase
2007-07-19 00:00:00,38782,product purchase
2007-07-20 00:00:00,66675,product purchase
2007-07-21 00:00:00,65939,product purchase
2007-07-22 00:00:00,60290,product purchase
2007-07-23 00:00:00,41249,product purchase
2007-07-24 00:00:00,37346,product purchase
2007-07-25 00:00:00,36198,product purchase
2007-07-26 00:00:00,61641,product purchase
2007-07-27 00:00:00,60021,product purchase
2007-07-28 00:00:00,66904,product purchase
2007-07-29 00:00:00,67144,product purchase
2007-07-30 00:00:00,39878,product purchase
2007-07-31 00:00:00,35382,product purchase
2007-08-01 00:00:00,132863,product purchase
2007-08-02 00:00:00,64223,product purchase
2007-08-03 00:00:00,63364,product purchase
2007-08-04 00:00:00,69799,product purchase
2007-08-05 00:00:00,60450,product purchase
2007-08-06 00:00:00,40937,product purchase
2007-08-07 00:00:00,37372,product purchase
2007-08-08 00:00:00,35092,product purchase
2007-08-09 00:00:00,40585,product purchase
2007-08-10 00:00:00,76935,product purchase
2007-08-11 00:00:00,69551,product purchase
2007-08-12 00:00:00,60216,product purchase
2007-08-13 00:00:00,43943,product purchase
2007-08-14 00:00:00,40236,product purchase
2007-08-15 00:00:00,40909,product purchase
2007-08-16 00:00:00,38670,product purchase
2007-08-17 00:00:00,38177,product purchase
2007-08-18 00:00:00,49117,product purchase
2007-08-19 00:00:00,47685,product purchase
2007-08-20 00:00:00,31610,product purchase
2007-08-21 00:00:00,31893,product purchase
2007-08-22 00:00:00,27885,product purchase
2007-08-23 00:00:00,31215,product purchase
2007-08-24 00:00:00,33268,product purchase
2007-08-25 00:00:00,43850,product purchase
2007-08-26 00:00:00,42777,product purchase
2007-08-27 00:00:00,30848,product purchase
2007-08-28 00:00:00,486120,product purchase
2007-08-29 00:00:00,244562,product purchase
2007-08-30 00:00:00,725011,product purchase
2007-08-31 00:00:00,434515,product purchase
2007-09-01 00:00:00,344692,product purchase
2007-09-02 00:00:00,255325,product purchase
2007-09-03 00:00:00,198164,product purchase
2007-09-04 00:00:00,158001,product purchase
2007-09-05 00:00:00,138048,product purchase
2007-09-06 00:00:00,158263,product purchase
2007-09-07 00:00:00,166104,product purchase
2007-09-08 00:00:00,181383,product purchase
2007-09-09 00:00:00,150628,product purchase
2007-09-10 00:00:00,93723,product purchase
2007-09-11 00:00:00,84206,product purchase
2007-09-12 00:00:00,77034,product purchase
2007-09-13 00:00:00,92751,product purchase
2007-09-14 00:00:00,118680,product purchase
2007-09-15 00:00:00,136072,product purchase
2007-09-16 00:00:00,115194,product purchase
2007-09-17 00:00:00,76571,product purchase
2007-09-18 00:00:00,64106,product purchase
2007-09-19 00:00:00,61776,product purchase
2007-09-20 00:00:00,137239,product purchase
2007-09-21 00:00:00,155872,product purchase
2007-09-22 00:00:00,157056,product purchase
2007-09-23 00:00:00,123039,product purchase
2007-09-24 00:00:00,80779,product purchase
2007-09-25 00:00:00,72805,product purchase
2007-09-26 00:00:00,64595,product purchase
2007-09-27 00:00:00,79079,product purchase
2007-09-28 00:00:00,93692,product purchase
2007-09-29 00:00:00,119585,product purchase
2007-09-30 00:00:00,105674,product purchase
2007-10-01 00:00:00,63589,product purchase
2007-10-02 00:00:00,57528,product purchase
2007-10-03 00:00:00,55381,product purchase
2007-10-04 00:00:00,247808,product purchase
2007-10-05 00:00:00,117007,product purchase
2007-10-06 00:00:00,134062,product purchase
2007-10-07 00:00:00,115121,product purchase
2007-10-08 00:00:00,85571,product purchase
2007-10-09 00:00:00,63149,product purchase
2007-10-10 00:00:00,66612,product purchase
2007-10-11 00:00:00,94142,product purchase
2007-10-12 00:00:00,112310,product purchase
2007-10-13 00:00:00,123300,product purchase
2007-10-14 00:00:00,108368,product purchase
2007-10-15 00:00:00,64134,product purchase
2007-10-16 00:00:00,60708,product purchase
2007-10-17 00:00:00,56131,product purchase
2007-10-18 00:00:00,96094,product purchase
2007-10-19 00:00:00,96030,product purchase
2007-10-20 00:00:00,114188,product purchase
2007-10-21 00:00:00,101650,product purchase
2007-10-22 00:00:00,62468,product purchase
2007-10-23 00:00:00,54752,product purchase
2007-10-24 00:00:00,60494,product purchase
2007-10-25 00:00:00,67024,product purchase
2007-10-26 00:00:00,116189,product purchase
2007-10-27 00:00:00,120970,product purchase
2007-10-28 00:00:00,101836,product purchase
2007-10-29 00:00:00,60963,product purchase
2007-10-30 00:00:00,56776,product purchase
2007-10-31 00:00:00,57690,product purchase
2007-11-01 00:00:00,100149,product purchase
2007-11-02 00:00:00,107280,product purchase
2007-11-03 00:00:00,120936,product purchase
2007-11-04 00:00:00,102521,product purchase
2007-11-05 00:00:00,64146,product purchase
2007-11-06 00:00:00,46345,product purchase
2007-11-07 00:00:00,59935,product purchase
2007-11-08 00:00:00,107599,product purchase
2007-11-09 00:00:00,222740,product purchase
2007-11-10 00:00:00,177402,product purchase
2007-11-11 00:00:00,147692,product purchase
2007-11-12 00:00:00,82390,product purchase
2007-11-13 00:00:00,71403,product purchase
2007-11-14 00:00:00,70807,product purchase
2007-11-15 00:00:00,73328,product purchase
2007-11-16 00:00:00,78098,product purchase
2007-11-17 00:00:00,106354,product purchase
2007-11-18 00:00:00,97904,product purchase
2007-11-19 00:00:00,59437,product purchase
2007-11-20 00:00:00,67027,product purchase
2007-11-21 00:00:00,138047,product purchase
2007-11-22 00:00:00,139451,product purchase
2007-11-23 00:00:00,130142,product purchase
2007-11-24 00:00:00,137495,product purchase
2007-11-25 00:00:00,125725,product purchase
2007-11-26 00:00:00,80722,product purchase
2007-11-27 00:00:00,73149,product purchase
2007-11-28 00:00:00,78078,product purchase
2007-11-29 00:00:00,144059,product purchase
2007-11-30 00:00:00,235022,product purchase
2007-12-01 00:00:00,248635,product purchase
2007-12-02 00:00:00,196171,product purchase
2007-12-03 00:00:00,110750,product purchase
2007-12-04 00:00:00,95722,product purchase
2007-12-05 00:00:00,91418,product purchase
2007-12-06 00:00:00,135034,product purchase
2007-12-07 00:00:00,199020,product purchase
2007-12-08 00:00:00,219146,product purchase
2007-12-09 00:00:00,172673,product purchase
2007-12-10 00:00:00,107297,product purchase
2007-12-11 00:00:00,100210,product purchase
2007-12-12 00:00:00,119281,product purchase
2007-12-13 00:00:00,281769,product purchase
2007-12-14 00:00:00,225551,product purchase
2007-12-15 00:00:00,252723,product purchase
2007-12-16 00:00:00,209471,product purchase
2007-12-17 00:00:00,122977,product purchase
2007-12-18 00:00:00,114800,product purchase
2007-12-19 00:00:00,203455,product purchase
2007-12-20 00:00:00,296981,product purchase
2007-12-21 00:00:00,347830,product purchase
2007-12-22 00:00:00,333705,product purchase
2007-12-23 00:00:00,278140,product purchase
2007-12-24 00:00:00,246082,product purchase
2007-12-25 00:00:00,298960,product purchase
2007-12-26 00:00:00,265385,product purchase
2007-12-27 00:00:00,251039,product purchase
2007-12-28 00:00:00,249744,product purchase
2007-12-29 00:00:00,267498,product purchase
2007-12-30 00:00:00,251643,product purchase
2007-12-31 00:00:00,234043,product purchase
2008-01-01 00:00:00,213081,product purchase
2008-01-02 00:00:00,175140,product purchase
2008-01-03 00:00:00,185006,product purchase
2008-01-04 00:00:00,235021,product purchase
2008-01-05 00:00:00,255319,product purchase
2008-01-06 00:00:00,216721,product purchase
2008-01-07 00:00:00,140389,product purchase
2008-01-08 00:00:00,125641,product purchase
2008-01-09 00:00:00,124633,product purchase
2008-01-10 00:00:00,153640,product purchase
2008-01-11 00:00:00,227984,product purchase
2008-01-12 00:00:00,276073,product purchase
2008-01-13 00:00:00,238058,product purchase
2008-01-14 00:00:00,149514,product purchase
2008-01-15 00:00:00,130087,product purchase
2008-01-16 00:00:00,127157,product purchase
2008-01-17 00:00:00,161956,product purchase
2008-01-18 00:00:00,230081,product purchase
2008-01-19 00:00:00,280988,product purchase
2008-01-20 00:00:00,240346,product purchase
2008-01-21 00:00:00,159132,product purchase
2008-01-22 00:00:00,131714,product purchase
2008-01-23 00:00:00,120656,product purchase
2008-01-24 00:00:00,164155,product purchase
2008-01-25 00:00:00,243718,product purchase
2008-01-26 00:00:00,288849,product purchase
2008-01-27 00:00:00,252631,product purchase
2008-01-28 00:00:00,148534,product purchase
2008-01-29 00:00:00,133357,product purchase
2008-01-30 00:00:00,132214,product purchase
2008-01-31 00:00:00,169602,product purchase
2008-02-01 00:00:00,221782,product purchase
2008-02-02 00:00:00,277808,product purchase
2008-02-03 00:00:00,252241,product purchase
2008-02-04 00:00:00,131681,product purchase
2008-02-05 00:00:00,134502,product purchase
2008-02-06 00:00:00,134680,product purchase
2008-02-07 00:00:00,175033,product purchase
2008-02-08 00:00:00,205189,product purchase
2008-02-09 00:00:00,254162,product purchase
2008-02-10 00:00:00,226135,product purchase
2008-02-11 00:00:00,139589,product purchase
2008-02-12 00:00:00,122571,product purchase
2008-02-13 00:00:00,116841,product purchase
2008-02-14 00:00:00,170490,product purchase
2008-02-15 00:00:00,183793,product purchase
2008-02-16 00:00:00,245600,product purchase
2008-02-17 00:00:00,222070,product purchase
2008-02-18 00:00:00,148721,product purchase
2008-02-19 00:00:00,122664,product purchase
2008-02-20 00:00:00,127911,product purchase
2008-02-21 00:00:00,134702,product purchase
2008-02-22 00:00:00,214833,product purchase
2008-02-23 00:00:00,275948,product purchase
2008-02-24 00:00:00,248658,product purchase
2008-02-25 00:00:00,137981,product purchase
2008-02-26 00:00:00,133128,product purchase
2008-02-27 00:00:00,128671,product purchase
2008-02-28 00:00:00,180350,product purchase
2008-02-29 00:00:00,226301,product purchase
2008-03-01 00:00:00,291439,product purchase
2008-03-02 00:00:00,252048,product purchase
2008-03-03 00:00:00,141808,product purchase
2008-03-04 00:00:00,127815,product purchase
2008-03-05 00:00:00,122770,product purchase
2008-03-06 00:00:00,171920,product purchase
2008-03-07 00:00:00,246047,product purchase
2008-03-08 00:00:00,291675,product purchase
2008-03-09 00:00:00,239953,product purchase
2008-03-10 00:00:00,134932,product purchase
2008-03-11 00:00:00,116179,product purchase
2008-03-12 00:00:00,118014,product purchase
2008-03-13 00:00:00,133042,product purchase
2008-03-14 00:00:00,177584,product purchase
2008-03-15 00:00:00,244472,product purchase
2008-03-16 00:00:00,220979,product purchase
2008-03-17 00:00:00,130819,product purchase
2008-03-18 00:00:00,118767,product purchase
2008-03-19 00:00:00,137597,product purchase
2008-03-20 00:00:00,280344,product purchase
2008-03-21 00:00:00,398706,product purchase
2008-03-22 00:00:00,320240,product purchase
2008-03-23 00:00:00,281229,product purchase
2008-03-24 00:00:00,210993,product purchase
2008-03-25 00:00:00,145694,product purchase
2008-03-26 00:00:00,138243,product purchase
2008-03-27 00:00:00,261047,product purchase
2008-03-28 00:00:00,699894,product purchase
2008-03-29 00:00:00,719168,product purchase
2008-03-30 00:00:00,513112,product purchase
2008-03-31 00:00:00,292189,product purchase
2008-04-01 00:00:00,232162,product purchase
2008-04-02 00:00:00,216637,product purchase
2008-04-03 00:00:00,207848,product purchase
2008-04-04 00:00:00,251004,product purchase
2008-04-05 00:00:00,335437,product purchase
2008-04-06 00:00:00,296806,product purchase
2008-04-07 00:00:00,166883,product purchase
2008-04-08 00:00:00,150337,product purchase
2008-04-09 00:00:00,144002,product purchase
2008-04-10 00:00:00,147526,product purchase
2008-04-11 00:00:00,183524,product purchase
2008-04-12 00:00:00,272206,product purchase
2008-04-13 00:00:00,244754,product purchase
2008-04-14 00:00:00,76835,product purchase
2008-04-15 00:00:00,226601,product purchase
2008-04-16 00:00:00,216281,product purchase
2008-04-17 00:00:00,656819,product purchase
2008-04-18 00:00:00,524784,product purchase
2008-04-19 00:00:00,535515,product purchase
2008-04-20 00:00:00,420058,product purchase
2008-04-21 00:00:00,245500,product purchase
2008-04-22 00:00:00,204846,product purchase
2008-04-23 00:00:00,184738,product purchase
2008-04-24 00:00:00,1291736,product purchase
2008-04-25 00:00:00,1371005,product purchase
2008-04-26 00:00:00,919004,product purchase
2008-04-27 00:00:00,665254,product purchase
2008-04-28 00:00:00,402020,product purchase
2008-04-29 00:00:00,279597,product purchase
2008-04-30 00:00:00,240563,product purchase
2008-05-01 00:00:00,369758,product purchase
2008-05-02 00:00:00,383037,product purchase
2008-05-03 00:00:00,406274,product purchase
2008-05-04 00:00:00,331913,product purchase
2008-05-05 00:00:00,227874,product purchase
2008-05-06 00:00:00,219572,product purchase
2008-05-07 00:00:00,196418,product purchase
2008-05-08 00:00:00,257951,product purchase
2008-05-09 00:00:00,289118,product purchase
2008-05-10 00:00:00,340604,product purchase
2008-05-11 00:00:00,303615,product purchase
2008-05-12 00:00:00,204308,product purchase
2008-05-13 00:00:00,178350,product purchase
2008-05-14 00:00:00,179321,product purchase
2008-05-15 00:00:00,234881,product purchase
2008-05-16 00:00:00,270542,product purchase
2008-05-17 00:00:00,361812,product purchase
2008-05-18 00:00:00,311143,product purchase
2008-05-19 00:00:00,196017,product purchase
2008-05-20 00:00:00,175558,product purchase
2008-05-21 00:00:00,168054,product purchase
2008-05-22 00:00:00,212686,product purchase
2008-05-23 00:00:00,254086,product purchase
2008-05-24 00:00:00,320544,product purchase
2008-05-25 00:00:00,290097,product purchase
2008-05-26 00:00:00,237211,product purchase
2008-05-27 00:00:00,178004,product purchase
2008-05-28 00:00:00,172712,product purchase
2008-05-29 00:00:00,253800,product purchase
2008-05-30 00:00:00,297255,product purchase
2008-05-31 00:00:00,366636,product purchase
2008-06-01 00:00:00,322510,product purchase
2008-06-02 00:00:00,192930,product purchase
2008-06-03 00:00:00,185561,product purchase
2008-06-04 00:00:00,175683,product purchase
2008-06-05 00:00:00,196822,product purchase
2008-06-06 00:00:00,419214,product purchase
2008-06-07 00:00:00,401506,product purchase
2008-06-08 00:00:00,311820,product purchase
2008-06-09 00:00:00,189487,product purchase
2008-06-10 00:00:00,176728,product purchase
2008-06-11 00:00:00,165178,product purchase
2008-06-12 00:00:00,179660,product purchase
2008-06-13 00:00:00,222037,product purchase
2008-06-14 00:00:00,293168,product purchase
2008-06-15 00:00:00,270745,product purchase
2008-06-16 00:00:00,169343,product purchase
2008-06-17 00:00:00,161703,product purchase
2008-06-18 00:00:00,143123,product purchase
2008-06-19 00:00:00,211040,product purchase
2008-06-20 00:00:00,258022,product purchase
2008-06-21 00:00:00,309320,product purchase
2008-06-22 00:00:00,268841,product purchase
2008-06-23 00:00:00,181568,product purchase
2008-06-24 00:00:00,126191,product purchase
2008-06-25 00:00:00,206719,product purchase
2008-06-26 00:00:00,278073,product purchase
2008-06-27 00:00:00,306327,product purchase
2008-06-28 00:00:00,335110,product purchase
2008-06-29 00:00:00,293638,product purchase
2008-06-30 00:00:00,203296,product purchase
2008-07-01 00:00:00,201708,product purchase
2008-07-02 00:00:00,283753,product purchase
2008-07-03 00:00:00,298340,product purchase
2008-07-04 00:00:00,370996,product purchase
2008-07-05 00:00:00,333942,product purchase
2008-07-06 00:00:00,306799,product purchase
2008-07-07 00:00:00,211505,product purchase
2008-07-08 00:00:00,208047,product purchase
2008-07-09 00:00:00,222832,product purchase
2008-07-10 00:00:00,304649,product purchase
2008-07-11 00:00:00,307512,product purchase
2008-07-12 00:00:00,395384,product purchase
2008-07-13 00:00:00,355467,product purchase
2008-07-14 00:00:00,219114,product purchase
2008-07-15 00:00:00,230732,product purchase
2008-07-16 00:00:00,353371,product purchase
2008-07-17 00:00:00,350766,product purchase
2008-07-18 00:00:00,371547,product purchase
2008-07-19 00:00:00,427247,product purchase
2008-07-20 00:00:00,372479,product purchase
2008-07-21 00:00:00,268120,product purchase
2008-07-22 00:00:00,232879,product purchase
2008-07-23 00:00:00,221926,product purchase
2008-07-24 00:00:00,456876,product purchase
2008-07-25 00:00:00,556702,product purchase
2008-07-26 00:00:00,519236,product purchase
2008-07-27 00:00:00,433417,product purchase
2008-07-28 00:00:00,290806,product purchase
2008-07-29 00:00:00,267103,product purchase
2008-07-30 00:00:00,235210,product purchase
2008-07-31 00:00:00,397488,product purchase
2008-08-01 00:00:00,428663,product purchase
2008-08-02 00:00:00,446481,product purchase
2008-08-03 00:00:00,397680,product purchase
2008-08-04 00:00:00,271069,product purchase
2008-08-05 00:00:00,252254,product purchase
2008-08-06 00:00:00,239377,product purchase
2008-08-07 00:00:00,293772,product purchase
2008-08-08 00:00:00,361807,product purchase
2008-08-09 00:00:00,390967,product purchase
2008-08-10 00:00:00,346381,product purchase
2008-08-11 00:00:00,244111,product purchase
2008-08-12 00:00:00,230290,product purchase
2008-08-13 00:00:00,246608,product purchase
2008-08-14 00:00:00,366657,product purchase
2008-08-15 00:00:00,437091,product purchase
2008-08-16 00:00:00,441717,product purchase
2008-08-17 00:00:00,382283,product purchase
2008-08-18 00:00:00,265290,product purchase
2008-08-19 00:00:00,241052,product purchase
2008-08-20 00:00:00,229572,product purchase
2008-08-21 00:00:00,481223,product purchase
2008-08-22 00:00:00,556020,product purchase
2008-08-23 00:00:00,545901,product purchase
2008-08-24 00:00:00,470728,product purchase
2008-08-25 00:00:00,324540,product purchase
2008-08-26 00:00:00,255259,product purchase
2008-08-27 00:00:00,283834,product purchase
2008-08-28 00:00:00,548601,product purchase
